Effective Java, 250, COMPUTACAO, 2001, Joshua Block
Design Patterns, 290, COMPUTACAO, 1995, Gamma et al
Refactoring, 220, COMPUTACAO, 2000, Martin Fowler
Clean Code, 350, COMPUTACAO, 2000, Robert Martin
Mastering Lambdas, 250, COMPUTACAO, 2016, Maurice Naftalin
Hitchhiker's Guide to the Galaxy, 250, SCI_FI, 2000, Douglas Adams
Dune, 250, SCI_FI, 2000, Frank Herbert
Rama, 250, SCI_FI, 2000, Arthur C. Clarke
Quantitative FINANCAS, 250, FINANCAS, 2000, Paul Wilmott
One Hundred Years Of Solitude, 449, ROMANCE, 1985, Gabriel Garcia Marquez
